subject,featuregraph_object_id,start_index,peak_index,end_index,is_complete,period_seconds,full_excursion,temporal_symmetry,excluded_by_ann1,excluded_by_ann2,excluded_by_both_annotators
1,24,7436.0,7443.0,7689.0,True,0.312,0.68622,0.055335968379446654,True,False,False
1,26,7758.0,7797.0,8041.0,True,0.392,0.7839700000000002,0.27561837455830385,False,False,False
1,28,8282.0,8296.0,8416.0,True,1.224,0.23948999999999995,0.20895522388059706,True,True,True
1,30,8510.0,8531.0,8759.0,True,0.304,0.7761500000000001,0.1686746987951807,True,False,False
1,48,14343.0,14354.0,14484.0,True,1.0,0.236561,0.15602836879432624,True,True,True
2,1,185.0,319.0,518.0,True,,1.16856,0.8048048048048049,False,False,False
2,2,518.0,538.0,597.0,True,1.752,0.10700899999999998,0.5063291139240507,True,True,True
2,3,597.0,622.0,650.0,True,0.672,0.13161000000000003,0.9433962264150944,True,True,True
2,5,1010.0,1017.0,1088.0,True,1.92,0.10701000000000001,0.17948717948717952,True,True,True
2,7,1494.0,1519.0,1574.0,True,2.056,0.119309,0.625,True,True,True
2,9,1993.0,2010.0,2071.0,True,2.288,0.12422899999999999,0.4358974358974359,True,True,True
2,11,2489.0,2510.0,2565.0,True,2.12,0.12792000000000003,0.5526315789473684,True,True,True
2,14,3411.0,3422.0,3488.0,True,1.92,0.11438900000000002,0.2857142857142857,True,True,True
2,16,3898.0,3922.0,3977.0,True,2.24,0.13406900000000002,0.6075949367088608,True,True,True
2,18,4394.0,4416.0,4454.0,True,2.448,0.13653,0.7333333333333334,True,True,True
2,20,4806.0,4823.0,4877.0,True,2.0,0.131609,0.47887323943661975,True,True,True
2,22,5295.0,5307.0,5369.0,True,2.232,0.12914899999999999,0.32432432432432434,True,True,True
2,24,5788.0,5809.0,5848.0,True,2.392,0.13407000000000002,0.7,True,True,True
2,26,6205.0,6225.0,6283.0,True,1.896,0.11685,0.5128205128205128,True,True,True
2,28,6711.0,6722.0,6771.0,True,2.056,0.12915000000000004,0.3666666666666667,True,True,True
2,30,7127.0,7150.0,7211.0,True,1.896,0.10823899999999997,0.5476190476190477,True,True,True
2,32,7627.0,7650.0,7699.0,True,1.952,0.14514,0.6388888888888888,True,True,True
2,34,8123.0,8148.0,8197.0,True,2.416,0.14144900000000002,0.6756756756756757,True,True,True
2,36,8540.0,8548.0,8616.0,True,1.752,0.105779,0.21052631578947367,True,True,True
2,37,8616.0,8633.0,8673.0,True,0.68,0.14145000000000002,0.5964912280701755,True,True,True
2,39,9020.0,9055.0,9087.0,True,2.064,0.151289,0.9552238805970149,True,True,True
2,41,9430.0,9456.0,9505.0,True,1.968,0.10947100000000001,0.6933333333333334,True,True,True
2,42,9505.0,9518.0,9585.0,True,0.496,0.1107,0.32499999999999996,True,True,True
2,44,9986.0,10007.0,10138.0,True,1.96,0.199259,0.2763157894736842,True,True,True
2,47,11049.0,11069.0,11129.0,True,2.288,0.113159,0.5,True,True,True
2,49,11545.0,11569.0,11626.0,True,2.144,0.126689,0.5925925925925926,True,True,True
2,51,11966.0,11986.0,12055.0,True,1.696,0.110699,0.449438202247191,True,True,True
2,52,12055.0,12060.0,12128.0,True,0.592,0.12177,0.136986301369863,True,True,True
2,54,12550.0,12569.0,12639.0,True,2.344,0.10701,0.4269662921348315,True,True,True
2,55,12639.0,12657.0,12699.0,True,0.704,0.14390999999999998,0.6,True,True,True
2,57,13057.0,13074.0,13138.0,True,1.88,0.11931000000000001,0.41975308641975306,True,True,True
2,59,13564.0,13583.0,13646.0,True,2.352,0.11438900000000002,0.46341463414634143,True,True,True
2,61,14067.0,14085.0,14148.0,True,2.392,0.10946899999999997,0.4444444444444444,True,True,True
2,63,14559.0,14581.0,14645.0,True,2.032,0.10700899999999998,0.5116279069767442,True,True,True
2,65,15046.0,15071.0,15138.0,True,2.064,0.11069900000000003,0.5434782608695652,True,True,True
2,67,15536.0,15568.0,15623.0,True,2.128,0.10700899999999999,0.735632183908046,True,True,True
2,69,16022.0,16044.0,16100.0,True,2.064,0.16728,0.5641025641025641,True,True,True
2,72,17019.0,17028.0,17094.0,True,1.744,0.10577999999999999,0.24,True,True,True
2,73,17094.0,17115.0,17158.0,True,0.696,0.15251999999999996,0.65625,True,True,True
2,75,17510.0,17527.0,17591.0,True,1.912,0.110699,0.41975308641975306,True,True,True
2,77,18004.0,18023.0,18079.0,True,2.152,0.138989,0.5066666666666666,True,True,True
2,79,18428.0,18439.0,18516.0,True,1.768,0.118079,0.25,True,True,True
2,81,18842.0,18861.0,18924.0,True,1.352,0.10946999999999998,0.46341463414634143,True,True,True
2,82,18924.0,18940.0,18992.0,True,0.632,0.14145,0.47058823529411764,True,True,True
